date,n1,n2,n3,n4,serie,fraccion,source
2025-03-20,38803,50073,69965,96946,10,34,realistic_simulation
2025-03-13,15275,22297,49264,94724,5,26,realistic_simulation
2025-03-06,10286,20095,24803,31131,6,93,realistic_simulation
2025-02-27,46272,49132,62459,89869,3,84,realistic_simulation
2025-02-20,43800,45199,81037,91326,6,47,realistic_simulation
2025-02-13,10557,24880,77609,79120,9,90,realistic_simulation
2025-02-06,56674,58538,97318,97405,10,2,realistic_simulation
2025-01-30,18868,66359,71237,94424,2,83,realistic_simulation
2025-01-23,12251,26532,26935,75742,2,47,realistic_simulation
2025-01-16,57589,67062,81048,92779,10,2,realistic_simulation
2025-01-09,56129,60498,98631,99445,7,38,realistic_simulation
2025-01-02,38666,51242,61926,68563,9,52,realistic_simulation
2024-12-26,13686,37751,39722,49873,8,26,realistic_simulation
2024-12-19,21670,53311,54439,91050,6,69,realistic_simulation
2024-12-12,44474,48299,78947,93834,5,11,realistic_simulation
2024-12-05,34573,50457,64176,87968,9,73,realistic_simulation
2024-11-28,26989,36458,82117,98093,6,22,realistic_simulation
2024-11-21,41760,49027,50283,69153,9,16,realistic_simulation
2024-11-14,34906,40723,43747,56231,1,11,realistic_simulation
2024-11-07,52886,63080,90003,99914,1,82,realistic_simulation
2024-10-31,22143,31258,53466,55928,7,28,realistic_simulation
2024-10-24,33094,39341,85948,96664,8,36,realistic_simulation
2024-10-17,68662,70028,84504,93533,2,96,realistic_simulation
2024-10-10,35114,54861,79712,90456,6,65,realistic_simulation
2024-10-03,32460,36146,64931,99345,9,27,realistic_simulation
2024-09-26,41003,47397,62844,67021,7,18,realistic_simulation
2024-09-19,27897,32775,58477,88236,6,48,realistic_simulation
2024-09-12,12054,68557,88922,97451,1,49,realistic_simulation
2024-09-05,11882,55091,62855,89759,3,92,realistic_simulation
2024-08-29,23318,53654,55637,80818,6,73,realistic_simulation
2024-08-22,20496,30455,70643,90880,1,14,realistic_simulation
2024-08-15,24973,60432,85913,89776,9,5,realistic_simulation
2024-08-08,51675,84330,84861,97008,1,25,realistic_simulation
2024-08-01,25003,32856,66886,75945,5,91,realistic_simulation
2024-07-25,17231,59399,62222,83356,1,72,realistic_simulation
2024-07-18,45782,61512,84644,85830,2,89,realistic_simulation
2024-07-11,26518,56270,82705,90240,6,33,realistic_simulation
2024-07-04,26805,73388,80659,96134,5,54,realistic_simulation
2024-06-27,50944,60265,77099,91085,7,29,realistic_simulation
2024-06-20,38938,60287,62807,98883,5,7,realistic_simulation
2024-06-13,15327,63607,90668,99155,10,1,realistic_simulation
2024-06-06,52079,63066,67177,83781,9,89,realistic_simulation
2024-05-30,12898,33251,60937,79710,6,90,realistic_simulation
2024-05-23,45529,52484,80141,87953,8,51,realistic_simulation
2024-05-16,29604,44073,82245,92360,1,32,realistic_simulation
2024-05-09,19763,27828,48623,53816,9,13,realistic_simulation
2024-05-02,22335,60826,75428,94110,6,65,realistic_simulation
2024-04-25,53894,59011,59171,68714,1,82,realistic_simulation
2024-04-18,44219,64515,70860,74274,2,56,realistic_simulation
2024-04-11,12280,20258,68089,92269,5,79,realistic_simulation
2024-04-04,14744,19994,24412,82897,6,100,realistic_simulation
2024-03-28,35249,42745,70165,78771,5,79,realistic_simulation
2024-03-21,11048,26538,41130,54788,8,26,realistic_simulation
2024-03-14,15533,23968,42623,92207,4,84,realistic_simulation
2024-03-07,33061,37853,64816,87010,4,84,realistic_simulation
2024-02-29,62342,67960,76211,90302,7,47,realistic_simulation
2024-02-22,29525,30431,35040,75692,1,94,realistic_simulation
2024-02-15,17531,19016,76397,84905,2,48,realistic_simulation
2024-02-08,49588,53381,73800,85160,4,37,realistic_simulation
2024-02-01,16463,42280,48109,65825,9,26,realistic_simulation
2024-01-25,14049,43819,86835,89544,5,87,realistic_simulation
2024-01-18,35982,75270,81269,88236,4,1,realistic_simulation
2024-01-11,11229,37789,58348,69222,6,77,realistic_simulation
2024-01-04,34825,35521,80916,85589,10,64,realistic_simulation
2023-12-28,47027,60796,95934,99666,5,52,realistic_simulation
2023-12-21,27235,51020,69103,97483,9,85,realistic_simulation
2023-12-14,22085,25193,61516,81906,6,77,realistic_simulation
2023-12-07,24407,62270,86434,94495,8,41,realistic_simulation
2023-11-30,45376,57460,67198,85135,1,41,realistic_simulation
2023-11-23,32714,54070,56702,81072,6,43,realistic_simulation
2023-11-16,55024,73215,89233,90396,6,37,realistic_simulation
2023-11-09,33340,71507,83622,86121,10,17,realistic_simulation
2023-11-02,51840,79829,81791,88772,6,68,realistic_simulation
2023-10-26,55058,76288,87083,96171,3,33,realistic_simulation
2023-10-19,29954,41744,47069,51696,3,85,realistic_simulation
2023-10-12,28088,44864,51532,96237,3,62,realistic_simulation
2023-10-05,32409,62310,68040,88133,5,62,realistic_simulation
2023-09-28,18980,46549,64125,82626,1,16,realistic_simulation
2023-09-21,17612,59749,69832,73557,6,93,realistic_simulation
2023-09-14,23535,27179,36045,61469,8,14,realistic_simulation
2023-09-07,49844,61772,83791,90001,2,6,realistic_simulation
2023-08-31,19120,68597,76962,84746,4,99,realistic_simulation
2023-08-24,38241,49715,51761,96435,4,51,realistic_simulation
2023-08-17,12317,38053,80925,81641,1,18,realistic_simulation
2023-08-10,15349,54966,59283,67999,3,15,realistic_simulation
2023-08-03,20221,30771,61670,96561,7,11,realistic_simulation
2023-07-27,45620,61756,75011,82507,2,2,realistic_simulation
2023-07-20,54508,67249,80382,93342,8,82,realistic_simulation
2023-07-13,20495,32828,73725,94743,1,95,realistic_simulation
2023-07-06,40562,44393,57377,60138,7,16,realistic_simulation
2023-06-29,11352,15302,36630,80965,10,47,realistic_simulation
2023-06-22,17822,47673,65299,78849,1,60,realistic_simulation
2023-06-15,23744,42478,83450,87047,6,31,realistic_simulation
2023-06-08,10209,55926,71615,99429,1,38,realistic_simulation
2023-06-01,13871,58548,88116,94926,7,24,realistic_simulation
2023-05-25,25990,30188,69770,74322,2,93,realistic_simulation
2023-05-18,25364,44087,86512,97865,1,25,realistic_simulation
2023-05-11,11568,24669,55127,94927,9,74,realistic_simulation
2023-05-04,17873,53134,83181,89761,5,40,realistic_simulation
2023-04-27,11534,21306,22051,60871,10,24,realistic_simulation
2023-04-20,17080,56371,83427,93728,9,70,realistic_simulation
2023-04-13,31919,71124,73980,93857,9,2,realistic_simulation
2023-04-06,52788,57529,69219,86058,2,38,realistic_simulation
2023-03-30,33139,33152,74073,81490,1,94,realistic_simulation
2023-03-23,10712,14812,21170,62543,7,63,realistic_simulation
2023-03-16,35040,54836,64441,83949,9,44,realistic_simulation
2023-03-09,13390,15722,65025,65724,1,89,realistic_simulation
2023-03-02,15624,31415,81096,85413,2,48,realistic_simulation
2023-02-23,12232,50571,54591,91503,7,95,realistic_simulation
2023-02-16,43719,59768,64793,99218,1,45,realistic_simulation
2023-02-09,39988,61546,88306,89454,10,18,realistic_simulation
2023-02-02,33661,35990,57923,85028,6,81,realistic_simulation
2023-01-26,31689,42451,75443,80040,9,78,realistic_simulation
2023-01-19,15237,19240,28178,36808,5,9,realistic_simulation
2023-01-12,20490,66083,66795,95489,7,68,realistic_simulation
2023-01-05,28650,29800,49696,54425,3,11,realistic_simulation
2022-12-29,11398,41057,56092,82658,1,52,realistic_simulation
2022-12-22,12800,42554,49730,56520,9,75,realistic_simulation
2022-12-15,20527,26235,43687,97070,10,87,realistic_simulation
2022-12-08,25691,27525,54848,88291,4,92,realistic_simulation
2022-12-01,22195,65382,68743,71812,10,60,realistic_simulation
2022-11-24,21452,38261,48432,67863,9,73,realistic_simulation
2022-11-17,15557,53695,79351,87922,3,98,realistic_simulation
2022-11-10,20442,31405,44558,54109,8,79,realistic_simulation
2022-11-03,22637,38721,47782,53522,2,22,realistic_simulation
2022-10-27,23600,35784,66008,77139,4,59,realistic_simulation
2022-10-20,14988,17606,78277,80516,9,66,realistic_simulation
2022-10-13,18644,42832,48375,78325,6,33,realistic_simulation
2022-10-06,23457,69517,73908,78423,3,90,realistic_simulation
2022-09-29,29508,43701,72062,78143,4,6,realistic_simulation
2022-09-22,11348,37742,81744,99760,4,26,realistic_simulation
2022-09-15,40371,49208,49894,60477,3,23,realistic_simulation
2022-09-08,32264,34733,42570,71560,8,31,realistic_simulation
2022-09-01,10707,33600,58391,92411,7,96,realistic_simulation
2022-08-25,16194,45400,48034,64496,4,85,realistic_simulation
2022-08-18,30943,61842,73194,77276,5,59,realistic_simulation
2022-08-11,37205,58442,66183,67839,8,63,realistic_simulation
2022-08-04,14186,47573,53152,66365,10,53,realistic_simulation
2022-07-28,62287,71331,78652,89264,6,28,realistic_simulation
2022-07-21,18103,25506,33248,46529,5,18,realistic_simulation
2022-07-14,35499,66117,70012,82412,6,25,realistic_simulation
2022-07-07,20452,29365,34558,72675,7,25,realistic_simulation
2022-06-30,27584,48815,65064,84213,9,40,realistic_simulation
2022-06-23,17932,19887,28370,54886,7,100,realistic_simulation
2022-06-16,67242,73216,89957,96748,5,31,realistic_simulation
2022-06-09,27015,45138,68473,69040,3,50,realistic_simulation
2022-06-02,19291,22514,68620,94337,1,83,realistic_simulation
2022-05-26,31505,40569,66878,69092,4,38,realistic_simulation
2022-05-19,19848,42837,43444,48300,6,91,realistic_simulation
2022-05-12,19064,27212,46939,67498,6,24,realistic_simulation
2022-05-05,15649,29468,45077,60234,9,100,realistic_simulation
2022-04-28,49820,62554,66013,66132,9,88,realistic_simulation
2022-04-21,13394,61567,73004,74087,1,63,realistic_simulation
2022-04-14,10195,20544,62463,63268,3,84,realistic_simulation
2022-04-07,27777,33849,36652,62519,5,2,realistic_simulation
2022-03-31,28495,29600,38117,82368,1,32,realistic_simulation
2022-03-24,21600,48405,83460,92304,2,84,realistic_simulation
2022-03-17,57117,66892,81282,88676,1,42,realistic_simulation
2022-03-10,32923,56908,67236,73878,8,79,realistic_simulation
2022-03-03,15089,18489,43080,91868,6,58,realistic_simulation
2022-02-24,28044,58394,66782,75989,1,25,realistic_simulation
2022-02-17,11965,31763,89400,99977,3,5,realistic_simulation
2022-02-10,78656,80693,88817,91518,9,100,realistic_simulation
2022-02-03,22566,31585,69271,85341,4,13,realistic_simulation
2022-01-27,30865,40503,82874,91514,10,92,realistic_simulation
